Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Payment Method,Shipping Type,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Customer Segmentation,Seasonal Trends,Delivery Time,Number of Items Purchased
753,39,Male,Scarf,Accessories,85,Ohio,L,Yellow,Fall,4.2,Cash,2-Day Shipping,17,PayPal,Every 3 Months,Loyal,Summer preperation,12,5
754,47,Male,Boots,Footwear,54,Massachusetts,M,Teal,Fall,3.4,Credit Card,Store Pickup,27,Venmo,Quarterly,New,Pre-fall shopping,30,9
755,36,Male,Gloves,Accessories,41,North Carolina,L,Pink,Spring,2.9,Cash,Store Pickup,3,Debit Card,Quarterly,New,Back to school,11,8
756,66,Male,Coat,Outerwear,24,Florida,M,Violet,Spring,3.3,Venmo,Free Shipping,22,PayPal,Weekly,New,Back to school,11,8
757,62,Male,Belt,Accessories,99,Montana,S,Orange,Summer,4.8,Cash,Standard,24,Cash,Fortnightly,New,Summer preperation,7,2
758,41,Male,Hoodie,Clothing,32,Minnesota,M,Red,Fall,3.8,Debit Card,Store Pickup,18,Debit Card,Quarterly,VIP,Pre-fall shopping,28,6
759,66,Male,Shoes,Footwear,71,Massachusetts,L,Peach,Summer,4.6,Bank Transfer,2-Day Shipping,39,Bank Transfer,Every 3 Months,New,Christmas present,5,4
760,51,Male,Dress,Clothing,49,Rhode Island,XL,Green,Winter,2.6,Bank Transfer,Next Day Air,25,Credit Card,Fortnightly,VIP,Pre-fall shopping,21,3
761,33,Male,Gloves,Accessories,50,Minnesota,XL,Violet,Fall,3.4,Credit Card,Free Shipping,6,Cash,Annually,New,Christmas present,22,8
762,57,Male,Jewelry,Accessories,91,Nevada,L,Yellow,Fall,4.2,Credit Card,Express,26,Bank Transfer,Weekly,VIP,Pre-fall shopping,11,7
763,45,Male,Belt,Accessories,46,New Mexico,M,Pink,Fall,3.9,Credit Card,Standard,43,Debit Card,Fortnightly,New,Christmas present,17,4
764,61,Male,Sweater,Clothing,50,North Carolina,M,Brown,Spring,2.9,Debit Card,2-Day Shipping,6,Credit Card,Monthly,Loyal,Summer preperation,2,2
765,55,Male,Skirt,Clothing,39,Virginia,XL,Silver,Fall,4.2,Bank Transfer,Free Shipping,6,Debit Card,Quarterly,Loyal,Pre-fall shopping,2,2
766,54,Male,Sneakers,Footwear,99,Alaska,M,Pink,Summer,3.0,Bank Transfer,Store Pickup,13,Cash,Quarterly,New,Summer preperation,6,6
767,57,Male,Gloves,Accessories,48,Nevada,M,Cyan,Winter,3.6,PayPal,Next Day Air,13,PayPal,Monthly,New,Christmas present,20,5
768,27,Male,Coat,Outerwear,77,Pennsylvania,M,Brown,Fall,2.5,Cash,Next Day Air,11,Cash,Annually,Loyal,Summer preperation,3,9
769,64,Male,Backpack,Accessories,95,Illinois,XL,Red,Spring,2.6,PayPal,Express,45,Venmo,Weekly,VIP,Christmas present,15,6
770,52,Male,Socks,Clothing,100,Delaware,M,Silver,Spring,4.3,Credit Card,Store Pickup,8,PayPal,Monthly,Loyal,Summer preperation,24,1
771,19,Male,Sneakers,Footwear,54,Vermont,M,Gray,Spring,3.3,Venmo,Express,8,Credit Card,Annually,Loyal,Back to school,28,1
772,22,Male,Sweater,Clothing,68,Hawaii,L,Cyan,Fall,2.6,Credit Card,Next Day Air,34,Bank Transfer,Fortnightly,Loyal,Back to school,20,4
773,18,Male,Jeans,Clothing,22,Illinois,L,Teal,Fall,3.6,Cash,Free Shipping,40,Debit Card,Bi-Weekly,Loyal,Back to school,8,6
774,29,Male,Hat,Accessories,84,California,L,Indigo,Winter,2.6,Venmo,Express,14,Debit Card,Bi-Weekly,Loyal,Pre-fall shopping,30,4
775,42,Male,Hat,Accessories,46,Nevada,M,Yellow,Summer,3.5,Credit Card,Standard,11,Credit Card,Quarterly,New,Back to school,11,5
776,49,Male,Handbag,Accessories,53,Kentucky,S,Gold,Winter,3.0,PayPal,Store Pickup,8,PayPal,Monthly,VIP,Christmas present,28,5
777,49,Male,Shirt,Clothing,60,Alabama,M,Maroon,Spring,5.0,PayPal,Standard,8,Venmo,Every 3 Months,New,Back to school,22,7
778,55,Male,Socks,Clothing,32,Wyoming,XL,Silver,Spring,2.5,Credit Card,Express,37,Venmo,Weekly,New,Christmas present,27,8
779,29,Male,Socks,Clothing,50,Massachusetts,M,Yellow,Summer,2.9,Cash,Store Pickup,23,Debit Card,Annually,VIP,Christmas present,15,2
780,60,Male,Dress,Clothing,94,Utah,M,Blue,Spring,4.6,Credit Card,Express,38,Cash,Annually,New,Summer preperation,8,1
781,34,Male,Shoes,Footwear,26,New York,M,Turquoise,Spring,3.6,Venmo,Free Shipping,38,Cash,Quarterly,VIP,Back to school,15,6
782,30,Male,Scarf,Accessories,44,Vermont,L,Indigo,Winter,3.0,PayPal,Store Pickup,12,Credit Card,Fortnightly,New,Christmas present,25,6
783,28,Male,Hoodie,Clothing,57,Hawaii,M,Green,Summer,4.5,PayPal,Standard,15,Cash,Weekly,VIP,Summer preperation,16,3
784,63,Male,T-shirt,Clothing,65,Louisiana,L,Purple,Winter,4.5,Debit Card,Next Day Air,38,PayPal,Fortnightly,New,Summer preperation,27,3
785,31,Male,Jeans,Clothing,72,Alabama,M,Peach,Winter,3.2,Debit Card,Store Pickup,41,Bank Transfer,Every 3 Months,New,Back to school,23,4
786,46,Male,Shorts,Clothing,62,Louisiana,S,Purple,Spring,4.0,Bank Transfer,Next Day Air,37,PayPal,Fortnightly,VIP,Christmas present,23,1
787,70,Male,Hat,Accessories,21,Indiana,S,Teal,Winter,4.8,Credit Card,Express,16,Bank Transfer,Every 3 Months,New,Christmas present,14,1
788,53,Male,Handbag,Accessories,85,Michigan,S,Green,Spring,3.7,Bank Transfer,Free Shipping,25,Venmo,Weekly,New,Pre-fall shopping,23,4
789,50,Male,Pants,Clothing,51,Rhode Island,XL,Yellow,Summer,3.8,Venmo,Store Pickup,18,Bank Transfer,Quarterly,Loyal,Pre-fall shopping,16,8
790,33,Male,Handbag,Accessories,84,Idaho,S,Purple,Fall,2.7,Venmo,Standard,4,Credit Card,Bi-Weekly,New,Summer preperation,21,3
791,22,Male,Sweater,Clothing,37,Louisiana,M,Indigo,Summer,4.9,Venmo,Store Pickup,12,Bank Transfer,Quarterly,VIP,Back to school,5,9
792,50,Male,Scarf,Accessories,44,North Carolina,S,Magenta,Summer,3.1,Credit Card,2-Day Shipping,35,PayPal,Fortnightly,New,Christmas present,8,5
793,34,Male,Sneakers,Footwear,45,New Jersey,M,Violet,Spring,4.2,Venmo,Next Day Air,45,Venmo,Weekly,New,Pre-fall shopping,27,4
794,24,Male,Pants,Clothing,35,Alabama,L,Maroon,Summer,3.8,Cash,Free Shipping,16,Credit Card,Monthly,New,Summer preperation,9,2
795,69,Male,Backpack,Accessories,50,Kentucky,XL,Yellow,Winter,4.2,Bank Transfer,Store Pickup,10,Debit Card,Fortnightly,New,Christmas present,21,2
796,39,Male,Sandals,Footwear,26,New York,M,Beige,Summer,4.6,Cash,Store Pickup,34,Venmo,Annually,Loyal,Christmas present,26,3
797,42,Male,Socks,Clothing,78,Arizona,XL,Black,Fall,4.0,Debit Card,2-Day Shipping,43,Credit Card,Annually,VIP,Pre-fall shopping,14,9
798,42,Male,Coat,Outerwear,82,Maryland,M,Violet,Fall,4.0,Cash,2-Day Shipping,38,Debit Card,Weekly,New,Summer preperation,6,5
799,29,Male,Socks,Clothing,39,Alaska,M,Violet,Spring,3.8,Cash,2-Day Shipping,48,PayPal,Every 3 Months,New,Back to school,13,6
800,55,Male,Belt,Accessories,55,Nevada,L,Brown,Summer,3.3,Venmo,Free Shipping,31,PayPal,Annually,New,Christmas present,27,5
801,32,Male,Socks,Clothing,20,Utah,S,Gold,Summer,2.6,Credit Card,Free Shipping,20,Cash,Every 3 Months,VIP,Christmas present,28,5
802,25,Male,Belt,Accessories,29,New Mexico,L,Blue,Fall,4.9,Credit Card,Express,12,Credit Card,Fortnightly,Loyal,Pre-fall shopping,19,6
803,38,Male,Pants,Clothing,41,Delaware,M,Teal,Winter,3.5,Venmo,Next Day Air,2,Bank Transfer,Weekly,Loyal,Summer preperation,13,8
804,32,Male,Shorts,Clothing,38,Connecticut,L,Silver,Winter,2.8,Credit Card,Express,30,Venmo,Every 3 Months,New,Christmas present,18,6
805,43,Male,Boots,Footwear,47,Mississippi,M,Maroon,Summer,2.6,Cash,Store Pickup,28,Venmo,Quarterly,Loyal,Back to school,21,1
806,41,Male,Dress,Clothing,30,Connecticut,L,White,Summer,3.7,Venmo,Next Day Air,40,Debit Card,Monthly,New,Back to school,30,7
807,56,Male,Jeans,Clothing,56,Florida,L,Charcoal,Summer,2.7,Credit Card,Standard,46,PayPal,Quarterly,VIP,Summer preperation,6,4
808,27,Male,T-shirt,Clothing,89,New York,S,Brown,Winter,3.3,Bank Transfer,Express,15,Credit Card,Weekly,New,Back to school,7,2
809,46,Male,Shoes,Footwear,96,Wisconsin,L,Lavender,Fall,4.6,PayPal,Next Day Air,38,Cash,Every 3 Months,Loyal,Back to school,13,7
810,48,Male,Boots,Footwear,81,South Carolina,M,Violet,Fall,4.9,PayPal,Next Day Air,30,PayPal,Bi-Weekly,New,Summer preperation,14,6
811,52,Male,Scarf,Accessories,83,South Dakota,S,Lavender,Fall,4.9,Debit Card,Store Pickup,32,Debit Card,Bi-Weekly,New,Christmas present,9,2
812,18,Male,Sneakers,Footwear,35,Illinois,M,Green,Winter,2.7,Debit Card,Free Shipping,36,Venmo,Quarterly,VIP,Back to school,24,8
813,64,Male,Boots,Footwear,56,Alaska,M,Olive,Summer,3.2,PayPal,Standard,32,Credit Card,Weekly,New,Pre-fall shopping,10,8
814,54,Male,Handbag,Accessories,45,Montana,S,Olive,Summer,2.9,Credit Card,Store Pickup,14,Debit Card,Annually,New,Summer preperation,7,3
815,31,Male,Shirt,Clothing,62,Minnesota,M,Pink,Winter,3.8,Cash,Express,8,PayPal,Monthly,VIP,Back to school,16,9
816,30,Male,Hat,Accessories,84,West Virginia,L,Teal,Spring,3.0,Cash,Next Day Air,27,Venmo,Bi-Weekly,New,Pre-fall shopping,3,4
817,26,Male,Sweater,Clothing,24,Illinois,L,Cyan,Summer,3.9,Credit Card,Store Pickup,24,Debit Card,Monthly,Loyal,Pre-fall shopping,5,2
818,25,Male,Handbag,Accessories,21,Nevada,S,Gray,Spring,4.7,Credit Card,Store Pickup,30,PayPal,Fortnightly,Loyal,Pre-fall shopping,25,8
819,59,Male,Shirt,Clothing,91,Idaho,M,Peach,Winter,4.9,Cash,Store Pickup,34,Debit Card,Monthly,VIP,Summer preperation,21,5
820,55,Male,Sunglasses,Accessories,36,Colorado,S,Teal,Winter,4.8,Bank Transfer,Next Day Air,28,Debit Card,Quarterly,New,Back to school,20,9
821,56,Male,Sneakers,Footwear,39,Louisiana,M,Turquoise,Spring,2.5,Cash,2-Day Shipping,27,Debit Card,Monthly,VIP,Pre-fall shopping,17,2
822,62,Male,Hoodie,Clothing,39,Vermont,M,Green,Spring,3.9,Cash,Standard,31,Credit Card,Bi-Weekly,Loyal,Pre-fall shopping,12,6
823,35,Male,Shirt,Clothing,59,Mississippi,L,Magenta,Winter,3.4,Cash,Standard,23,Bank Transfer,Annually,New,Pre-fall shopping,4,8
824,51,Male,Sunglasses,Accessories,27,Georgia,M,Green,Winter,2.5,PayPal,Free Shipping,11,Credit Card,Quarterly,New,Pre-fall shopping,19,5
825,61,Male,Blouse,Clothing,94,Georgia,M,White,Spring,3.0,Venmo,Store Pickup,48,Cash,Quarterly,VIP,Back to school,20,8
826,27,Male,Belt,Accessories,94,Nebraska,XL,Brown,Fall,3.6,Venmo,Next Day Air,17,Cash,Monthly,Loyal,Christmas present,28,8
827,54,Male,Dress,Clothing,94,Massachusetts,M,Purple,Winter,3.6,Credit Card,Standard,36,PayPal,Weekly,New,Christmas present,9,1
828,31,Male,Shoes,Footwear,51,Colorado,S,Green,Fall,4.1,Credit Card,Free Shipping,33,Bank Transfer,Fortnightly,New,Back to school,4,3
829,24,Male,Socks,Clothing,62,Nevada,M,Peach,Fall,3.7,Bank Transfer,2-Day Shipping,27,PayPal,Bi-Weekly,VIP,Back to school,9,4
830,42,Male,Socks,Clothing,57,Idaho,S,Silver,Spring,3.1,Debit Card,2-Day Shipping,14,Credit Card,Fortnightly,New,Pre-fall shopping,25,6
831,41,Male,Shorts,Clothing,76,Wyoming,M,Maroon,Fall,4.2,Cash,Express,5,Credit Card,Annually,Loyal,Back to school,5,1
832,66,Male,Gloves,Accessories,63,Washington,M,Red,Summer,4.3,Debit Card,Express,47,Cash,Every 3 Months,VIP,Christmas present,11,4
833,58,Male,Jacket,Outerwear,80,California,L,Blue,Fall,2.5,Credit Card,Express,28,Cash,Bi-Weekly,Loyal,Christmas present,28,8
834,43,Male,Handbag,Accessories,68,Oklahoma,M,Purple,Fall,3.5,Debit Card,Standard,11,Credit Card,Annually,VIP,Pre-fall shopping,30,2
835,52,Male,Backpack,Accessories,89,Nevada,M,Indigo,Summer,3.1,Debit Card,Free Shipping,18,Credit Card,Weekly,New,Pre-fall shopping,25,2
836,35,Male,Boots,Footwear,26,Maryland,L,Indigo,Summer,2.5,Debit Card,Next Day Air,21,Debit Card,Weekly,New,Back to school,17,7
837,23,Male,Gloves,Accessories,90,West Virginia,L,Violet,Winter,3.9,PayPal,Store Pickup,22,Cash,Bi-Weekly,VIP,Christmas present,6,1
838,25,Male,Hoodie,Clothing,28,Illinois,L,Brown,Spring,4.9,Credit Card,Express,33,Cash,Every 3 Months,Loyal,Christmas present,6,5
839,33,Male,Coat,Outerwear,29,Kentucky,M,Gray,Spring,4.3,Bank Transfer,Express,49,Credit Card,Annually,Loyal,Back to school,23,7
840,48,Male,Shirt,Clothing,31,Illinois,L,Teal,Spring,2.6,Cash,Free Shipping,10,Debit Card,Every 3 Months,Loyal,Pre-fall shopping,4,9
841,42,Male,Shirt,Clothing,24,Alabama,L,Teal,Summer,4.2,Bank Transfer,2-Day Shipping,18,PayPal,Weekly,New,Christmas present,17,6
842,55,Male,Sweater,Clothing,88,Texas,M,Beige,Summer,2.6,Venmo,Store Pickup,28,PayPal,Fortnightly,New,Back to school,27,8
843,59,Male,Shirt,Clothing,87,Missouri,M,Violet,Spring,3.6,Venmo,Express,25,PayPal,Weekly,New,Pre-fall shopping,22,1
844,65,Male,Hoodie,Clothing,80,Pennsylvania,S,Beige,Summer,3.2,Cash,Express,6,PayPal,Weekly,VIP,Back to school,9,2
845,59,Male,Sandals,Footwear,48,Missouri,L,Purple,Winter,4.4,PayPal,Express,44,Venmo,Bi-Weekly,VIP,Pre-fall shopping,25,8
846,31,Male,Belt,Accessories,21,Michigan,XL,Charcoal,Winter,3.7,PayPal,Standard,30,Venmo,Monthly,VIP,Pre-fall shopping,11,5
847,49,Male,Boots,Footwear,72,Kentucky,M,Pink,Spring,3.7,Bank Transfer,Express,42,Debit Card,Quarterly,New,Pre-fall shopping,20,2
848,53,Male,Hoodie,Clothing,44,New Jersey,L,Blue,Fall,4.1,Bank Transfer,Standard,30,PayPal,Monthly,New,Pre-fall shopping,20,5
849,48,Male,Sandals,Footwear,73,Delaware,M,Lavender,Fall,3.6,PayPal,Store Pickup,33,Credit Card,Bi-Weekly,VIP,Back to school,28,6
850,23,Male,Jeans,Clothing,61,Missouri,S,Charcoal,Spring,4.3,Debit Card,Express,24,PayPal,Quarterly,New,Pre-fall shopping,17,9
851,68,Male,Shoes,Footwear,20,Connecticut,L,Turquoise,Winter,2.6,Bank Transfer,Store Pickup,13,Venmo,Monthly,New,Pre-fall shopping,9,2
852,35,Male,Sandals,Footwear,86,Massachusetts,M,Red,Summer,2.9,Credit Card,Express,19,Debit Card,Monthly,VIP,Christmas present,11,9
853,34,Male,Dress,Clothing,60,Florida,L,Yellow,Spring,4.2,Venmo,Next Day Air,23,Debit Card,Every 3 Months,VIP,Pre-fall shopping,11,8
854,62,Male,Hat,Accessories,43,Delaware,L,Orange,Winter,4.0,PayPal,Free Shipping,35,Cash,Monthly,New,Back to school,18,9
855,21,Male,Pants,Clothing,44,California,L,Blue,Spring,4.3,Bank Transfer,Free Shipping,22,Venmo,Monthly,New,Summer preperation,29,3
856,70,Male,Socks,Clothing,76,Oregon,L,Gold,Spring,3.0,Cash,2-Day Shipping,14,Credit Card,Quarterly,Loyal,Back to school,14,1
857,55,Male,Shirt,Clothing,33,Alaska,M,Gold,Summer,3.5,Debit Card,Express,47,Debit Card,Fortnightly,Loyal,Christmas present,14,1
858,43,Male,Shorts,Clothing,60,Missouri,L,Cyan,Fall,3.0,Cash,Standard,50,Debit Card,Every 3 Months,New,Back to school,11,8
859,19,Male,Jacket,Outerwear,26,Oklahoma,L,Olive,Fall,3.1,PayPal,Free Shipping,33,PayPal,Weekly,New,Pre-fall shopping,15,9
860,47,Male,Hoodie,Clothing,73,Wisconsin,M,Teal,Winter,4.0,Credit Card,Next Day Air,7,Debit Card,Monthly,VIP,Back to school,20,8
861,26,Male,Shoes,Footwear,87,South Carolina,M,Maroon,Spring,4.1,Debit Card,Standard,3,Cash,Monthly,Loyal,Christmas present,7,6
862,46,Male,Skirt,Clothing,100,Virginia,XL,Green,Spring,3.3,PayPal,2-Day Shipping,35,Credit Card,Every 3 Months,VIP,Summer preperation,27,9
863,19,Male,Coat,Outerwear,84,Arkansas,M,Charcoal,Winter,4.9,PayPal,Standard,13,PayPal,Fortnightly,New,Christmas present,27,8
864,49,Male,Sneakers,Footwear,41,Vermont,M,Cyan,Summer,3.9,PayPal,Standard,42,PayPal,Fortnightly,New,Christmas present,2,3
865,51,Male,Jeans,Clothing,59,Kentucky,S,Charcoal,Winter,3.9,PayPal,Next Day Air,5,PayPal,Annually,VIP,Pre-fall shopping,7,6
866,64,Male,Blouse,Clothing,26,Colorado,L,Charcoal,Winter,4.8,Bank Transfer,Store Pickup,23,Venmo,Annually,VIP,Pre-fall shopping,30,7
867,67,Male,Sunglasses,Accessories,69,New Mexico,M,Lavender,Summer,2.7,Credit Card,Free Shipping,11,PayPal,Bi-Weekly,New,Pre-fall shopping,12,9
868,37,Male,Jacket,Outerwear,20,Colorado,M,Turquoise,Spring,3.1,Debit Card,Free Shipping,23,Bank Transfer,Fortnightly,New,Christmas present,23,4
869,40,Male,Dress,Clothing,83,North Carolina,M,Green,Summer,3.2,Credit Card,Next Day Air,2,Credit Card,Every 3 Months,VIP,Back to school,10,3
870,38,Male,Hat,Accessories,54,New Hampshire,M,Silver,Spring,2.7,PayPal,2-Day Shipping,33,PayPal,Weekly,Loyal,Pre-fall shopping,19,5
871,66,Male,Hoodie,Clothing,66,West Virginia,M,Blue,Fall,2.5,Cash,Standard,6,Bank Transfer,Bi-Weekly,Loyal,Summer preperation,26,9
872,47,Male,Handbag,Accessories,42,Hawaii,M,Charcoal,Spring,2.6,Bank Transfer,Next Day Air,45,Debit Card,Quarterly,New,Christmas present,4,2
873,56,Male,Jeans,Clothing,33,North Dakota,M,Pink,Spring,2.9,Cash,Standard,25,Cash,Quarterly,VIP,Pre-fall shopping,16,4
874,51,Male,Boots,Footwear,77,Mississippi,M,Pink,Summer,4.2,PayPal,Free Shipping,24,Venmo,Quarterly,New,Christmas present,8,1
875,25,Male,Jacket,Outerwear,65,Maine,M,Magenta,Fall,4.4,PayPal,Free Shipping,10,Venmo,Every 3 Months,New,Summer preperation,28,9
876,37,Male,Sandals,Footwear,39,North Dakota,L,Gray,Summer,4.1,Venmo,Free Shipping,7,Bank Transfer,Every 3 Months,VIP,Summer preperation,18,6
877,41,Male,Belt,Accessories,51,Nebraska,L,Gray,Summer,3.8,Venmo,2-Day Shipping,1,Debit Card,Weekly,VIP,Summer preperation,25,4
878,64,Male,Handbag,Accessories,65,Nebraska,M,Orange,Winter,4.9,Venmo,Next Day Air,45,Venmo,Every 3 Months,VIP,Back to school,17,2
879,23,Male,Sunglasses,Accessories,89,Tennessee,S,Black,Summer,4.9,Cash,Express,37,Debit Card,Weekly,VIP,Christmas present,17,9
880,62,Male,Skirt,Clothing,76,Wyoming,S,Lavender,Spring,4.1,Credit Card,Free Shipping,14,PayPal,Quarterly,New,Christmas present,2,7
881,39,Male,Backpack,Accessories,75,Nevada,L,Red,Spring,3.1,Venmo,Express,25,Debit Card,Monthly,VIP,Christmas present,28,1
882,52,Male,Sandals,Footwear,61,South Carolina,M,Silver,Summer,2.7,Credit Card,Next Day Air,18,Venmo,Annually,New,Christmas present,14,9
883,50,Male,Boots,Footwear,35,Virginia,M,Cyan,Fall,3.8,Cash,Next Day Air,37,Cash,Every 3 Months,VIP,Back to school,27,5
884,28,Male,Sneakers,Footwear,37,Pennsylvania,S,Gold,Fall,4.3,Venmo,Free Shipping,30,Bank Transfer,Monthly,VIP,Christmas present,2,8
885,67,Male,Skirt,Clothing,91,Hawaii,L,Yellow,Winter,4.1,Venmo,Express,34,Bank Transfer,Weekly,Loyal,Christmas present,21,1
886,41,Male,Dress,Clothing,99,Ohio,L,Purple,Fall,4.4,Credit Card,Free Shipping,49,Debit Card,Every 3 Months,VIP,Christmas present,7,2
887,19,Male,Shorts,Clothing,54,Utah,S,Brown,Summer,3.6,PayPal,Express,48,Bank Transfer,Monthly,VIP,Back to school,25,1
888,70,Male,Handbag,Accessories,47,Minnesota,L,Turquoise,Winter,3.3,Credit Card,2-Day Shipping,33,PayPal,Fortnightly,New,Summer preperation,24,4
889,49,Male,Scarf,Accessories,77,New Hampshire,S,Gold,Spring,3.6,Venmo,Express,44,Cash,Annually,Loyal,Pre-fall shopping,5,8
890,59,Male,Belt,Accessories,84,Arizona,S,Olive,Fall,2.8,Venmo,Free Shipping,50,Venmo,Weekly,New,Back to school,6,6
891,52,Male,Gloves,Accessories,51,New York,S,Purple,Spring,4.3,Credit Card,2-Day Shipping,47,Credit Card,Monthly,New,Summer preperation,30,9
892,20,Male,Skirt,Clothing,26,Pennsylvania,S,Lavender,Summer,3.9,Venmo,Store Pickup,24,PayPal,Every 3 Months,Loyal,Summer preperation,14,7
893,31,Male,Shorts,Clothing,64,New Mexico,L,Gray,Summer,2.7,Venmo,Free Shipping,43,Debit Card,Monthly,Loyal,Pre-fall shopping,29,5
894,33,Male,Backpack,Accessories,51,Nebraska,M,Red,Spring,4.7,Debit Card,Express,14,Venmo,Monthly,Loyal,Christmas present,29,2
895,44,Male,Hoodie,Clothing,60,Wyoming,L,Purple,Spring,3.8,Venmo,Free Shipping,3,Debit Card,Quarterly,VIP,Back to school,8,5
896,40,Male,Hat,Accessories,69,Mississippi,XL,Olive,Spring,4.7,Debit Card,Next Day Air,33,Debit Card,Quarterly,Loyal,Christmas present,2,2
897,69,Male,Jewelry,Accessories,29,Arkansas,M,Lavender,Spring,4.7,Credit Card,Express,38,Cash,Fortnightly,Loyal,Pre-fall shopping,4,9
898,29,Male,Shirt,Clothing,91,Illinois,M,Gray,Spring,3.4,PayPal,Express,46,Venmo,Weekly,New,Back to school,14,4
899,54,Male,Belt,Accessories,70,Nevada,L,Red,Spring,3.5,Credit Card,2-Day Shipping,19,Bank Transfer,Every 3 Months,Loyal,Christmas present,22,9
900,65,Male,Sweater,Clothing,58,Rhode Island,M,Peach,Summer,4.0,Debit Card,Standard,20,PayPal,Annually,VIP,Summer preperation,4,8
901,54,Male,Hat,Accessories,98,West Virginia,L,Gray,Fall,3.3,Cash,Free Shipping,42,Bank Transfer,Quarterly,New,Pre-fall shopping,13,4
902,60,Male,Scarf,Accessories,68,Missouri,L,Violet,Summer,4.7,Debit Card,2-Day Shipping,34,Cash,Monthly,New,Pre-fall shopping,15,6
903,43,Male,Hat,Accessories,44,Kentucky,M,Beige,Summer,2.8,Debit Card,Next Day Air,5,Cash,Monthly,VIP,Pre-fall shopping,6,9
904,44,Male,Jacket,Outerwear,45,Washington,M,Blue,Winter,3.3,Bank Transfer,Express,3,PayPal,Quarterly,VIP,Back to school,11,9
905,69,Male,T-shirt,Clothing,99,Alaska,L,Magenta,Spring,2.9,Credit Card,Free Shipping,46,PayPal,Every 3 Months,Loyal,Back to school,4,6
906,46,Male,Dress,Clothing,68,Mississippi,S,Cyan,Spring,2.8,Credit Card,Standard,16,Venmo,Annually,New,Summer preperation,14,4
907,41,Male,Pants,Clothing,56,South Carolina,M,Red,Spring,4.2,Debit Card,Standard,21,Debit Card,Bi-Weekly,Loyal,Pre-fall shopping,15,8
908,32,Male,Sweater,Clothing,43,Missouri,L,Cyan,Winter,4.4,PayPal,Express,34,Credit Card,Bi-Weekly,New,Christmas present,21,8
909,26,Male,Sunglasses,Accessories,99,New Jersey,M,Turquoise,Winter,3.6,Cash,Free Shipping,9,PayPal,Every 3 Months,Loyal,Christmas present,7,6
910,61,Male,Belt,Accessories,56,Louisiana,L,Silver,Fall,2.7,Debit Card,Express,36,PayPal,Weekly,Loyal,Summer preperation,17,3
911,49,Male,Hoodie,Clothing,25,South Carolina,S,Pink,Spring,3.4,Bank Transfer,Express,22,Credit Card,Monthly,New,Pre-fall shopping,21,8
912,53,Male,Pants,Clothing,74,Vermont,M,Black,Winter,2.8,Cash,2-Day Shipping,2,Bank Transfer,Quarterly,VIP,Summer preperation,4,2
913,24,Male,Hoodie,Clothing,56,Arkansas,M,Green,Winter,3.4,Bank Transfer,Next Day Air,32,Bank Transfer,Monthly,VIP,Summer preperation,13,9
914,37,Male,Sneakers,Footwear,47,Utah,M,Yellow,Fall,2.6,Bank Transfer,Next Day Air,29,Cash,Every 3 Months,New,Summer preperation,6,8
915,43,Male,Dress,Clothing,67,Washington,L,Purple,Summer,4.1,PayPal,Standard,27,Venmo,Every 3 Months,Loyal,Summer preperation,9,1
916,31,Male,Dress,Clothing,22,Rhode Island,L,Purple,Winter,2.9,Debit Card,Store Pickup,33,Credit Card,Fortnightly,VIP,Pre-fall shopping,25,5
917,49,Male,Jeans,Clothing,34,Illinois,S,Blue,Spring,2.7,Cash,Standard,16,Venmo,Monthly,New,Summer preperation,27,7
918,69,Male,Sweater,Clothing,64,Missouri,M,Maroon,Spring,3.7,Debit Card,Standard,11,Bank Transfer,Quarterly,New,Summer preperation,22,5
919,65,Male,Shorts,Clothing,42,North Carolina,M,Orange,Spring,4.3,Cash,2-Day Shipping,11,Cash,Fortnightly,VIP,Christmas present,13,3
920,41,Male,Shirt,Clothing,82,Massachusetts,L,Green,Winter,2.6,PayPal,2-Day Shipping,17,Debit Card,Bi-Weekly,Loyal,Christmas present,29,1
921,37,Male,Belt,Accessories,81,Arkansas,XL,Gold,Summer,4.3,Credit Card,Free Shipping,37,Cash,Weekly,Loyal,Summer preperation,17,3
922,70,Male,Coat,Outerwear,24,South Dakota,L,Silver,Summer,4.1,Venmo,Express,18,PayPal,Weekly,New,Summer preperation,24,1
923,63,Male,Sneakers,Footwear,60,Georgia,M,Cyan,Fall,4.2,Venmo,Standard,13,Credit Card,Monthly,Loyal,Pre-fall shopping,2,5
924,55,Male,Shirt,Clothing,24,Arkansas,M,Silver,Spring,4.2,PayPal,2-Day Shipping,7,PayPal,Weekly,Loyal,Pre-fall shopping,8,3
925,52,Male,Socks,Clothing,78,Kansas,XL,Beige,Winter,3.1,Credit Card,Standard,37,Cash,Quarterly,Loyal,Pre-fall shopping,3,1
926,22,Male,Jeans,Clothing,88,Arizona,L,Teal,Winter,4.9,Credit Card,Express,8,Cash,Monthly,New,Summer preperation,28,3
927,54,Male,Jeans,Clothing,63,Massachusetts,XL,Green,Spring,4.4,PayPal,Express,11,Cash,Bi-Weekly,Loyal,Pre-fall shopping,22,2
928,28,Male,Sneakers,Footwear,78,New Mexico,L,Black,Summer,4.4,Bank Transfer,Standard,8,Venmo,Bi-Weekly,VIP,Back to school,23,9
